german,english,pronunciation,type,tags,frequency,example,example_translation
wessen,whose,[ˈvɛsn̩],pronoun,interrogative|genitive|basic,5,Wessen Jacke ist das?,Whose jacket is this?
dagegen,against it,[daˈɡeːɡn̩],adverb,adverb|pronominal,6,Ich habe nichts dagegen.,I have nothing against it.
dafür,for it,[daˈfyːɐ̯],adverb,adverb|pronominal,6,Bist du dafür oder dagegen?,Are you for it or against it?
damit,with it/so that,[ˈdaːmɪt],adverb,adverb|pronominal,6,Was machst du damit?,What are you doing with that?
darüber,about it/over it,[daˈʁyːbɐ],adverb,adverb|pronominal,7,Wir müssen darüber sprechen.,We need to talk about it.
darum,therefore/around it,[ˈdaːrʊm],adverb,adverb|pronominal,6,Darum geht es nicht.,That's not the point.
dran,on it/its turn,[dʁan],adverb,adverb|pronominal,7,Wer ist als Nächstes dran?,Whose turn is it next?
drin,inside it,[dʁɪn],adverb,adverb|pronominal,6,Schau mal, was drin ist.,Look what's inside.
womit,with what,[voˈmɪt],adverb,adverb|interrogative,6,Womit schreibst du?,What are you writing with?
woran,on what,[voˈʁan],adverb,adverb|interrogative,5,Woran denkst du?,What are you thinking about?
worauf,on what/for what,[voˈʁaʊf],adverb,adverb|interrogative,6,Worauf wartest du?,What are you waiting for?
worüber,about what,[voˈʁyːbɐ],adverb,adverb|interrogative,6,Worüber lacht ihr?,What are you laughing about?
