id,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
525,Verbs,fill_in_blank,"Sie (she) ___ ihre Schlüssel.",sucht,suche,suchen,"suchen (to search for)"
526,Cases,multiple_choice,"Ich fahre zu ___ Freundin.",meiner,meine,meinem,"zu + Dativ"
527,W-Fragen,fill_in_blank,"___ Datum haben wir heute?",Welches,Was,Wie,"Asking for the date"
528,Sentences,build_sentence,"ich|fern|sehe|jeden Abend",Ich sehe jeden Abend fern.,,,
529,Pronouns,multiple_choice,"Wir sind gegen ___.",ihn,er,ihm,"gegen + Akkusativ"
530,Verbs,fill_in_blank,"Ihr ___ einen Witz.",erzählt,erzähle,erzählen,"erzählen (to tell)"
531,Articles,multiple_choice,"Er geht in ___ Kino.",das,dem,den,"in + Akkusativ"
532,Haben/Sein,fill_in_blank,"Ich ___ im Recht.",bin,habe,bist,"im Recht sein (to be right)"
533,Verbs,fill_in_blank,"Du ___ mir Geld.",schuldest,schulde,schulden,"schulden (to owe)"
534,Cases,multiple_choice,"Das ist die Tasche ___ Frau.",der,die,den,"Genitiv (A2/B1)"
535,W-Fragen,fill_in_blank,"___ beginnt die Vorstellung?",Wann,Wo,Wer,"Asking for start time"
536,Sentences,build_sentence,"sie|hat|bestanden|die Fahrprüfung",Sie hat die Fahrprüfung bestanden.,,,
537,Pronouns,multiple_choice,"Ich freue mich für ___.",dich,dir,du,"sich freuen für + Akkusativ"
538,Verbs,fill_in_blank,"Wir ___ den Müll raus.",bringen,bringt,bringe,"rausbringen (to take out - separable)"
539,Articles,multiple_choice,"Der Vogel sitzt auf ___ Baum.",dem,den,der,"auf + Dativ (location)"
540,Haben/Sein,fill_in_blank,"Ihr ___ sehr talentiert.",seid,habt,sind,"sein (to be)"
541,Verbs,fill_in_blank,"Er ___ seine Jacke an.",zieht,ziehe,ziehen,"anziehen (to put on - separable)"
542,Cases,multiple_choice,"Ich diskutiere nicht über ___ Thema.",dieses,diesem,diesen,"über + Akkusativ"
543,W-Fragen,fill_in_blank,"___ kommt der Lärm?",Woher,Wo,Was,"Asking 'where from'"
544,Sentences,build_sentence,"du|sollst|essen|dein Gemüse",Du sollst dein Gemüse essen.,,,
545,Pronouns,multiple_choice,"Das Geschenk ist von ___.",mir,mich,ich,"von + Dativ"
546,Modal Verbs,fill_in_blank,"Ich ___ das nicht tun.",darf,muss,kann,"dürfen (may, allowed to)"
547,Cases,multiple_choice,"Sie geht zum ___ Friseur.",Friseur,Friseurin,Friseurs,"zu + Dativ"
548,Haben/Sein,fill_in_blank,"Du ___ schöne Augen.",hast,bist,habe,"haben (to have)"
549,Verbs,fill_in_blank,"Ich ___ die Aufgabe.",löse,löst,lösen,"lösen (to solve)"
550,Articles,multiple_choice,"Wir sind gegen ___ Krieg.",den,dem,der,"gegen + Akkusativ"
551,Verbs,fill_in_blank,"Sie (she) ___ ein Lied.",singt,singe,singen,"singen (to sing)"
552,Cases,multiple_choice,"Er gibt ___ Kellnerin einen Tipp.",der,die,den,"die Kellnerin (Dativ)"
553,W-Fragen,fill_in_blank,"___ findest du den Film?",Wie,Was,Wer,"Asking for opinion"
554,Sentences,build_sentence,"ich|habe|gefrühstückt|schon",Ich habe schon gefrühstückt.,,,
555,Pronouns,multiple_choice,"Kannst du ___ vertrauen?",ihm,ihn,er,"vertrauen + Dativ"
556,Verbs,multiple_choice,"Ihr ___ die Wahrheit.",sagt,sage,sagen,"sagen (to say)"
557,Articles,fill_in_blank,"Ich gehe in ___ Supermarkt.",den,dem,der,"in + Akkusativ"
558,Haben/Sein,fill_in_blank,"Wir ___ im selben Boot.",sitzen,sind,haben,"im selben Boot sitzen (to be in the same boat)"
559,Verbs,fill_in_blank,"Du ___ ein Bild an die Wand.",hängst,hänge,hängen,"hängen (to hang - transitive)"
560,Cases,multiple_choice,"Das ist ___ Auto meines Vaters.",das,den,dem,"Genitiv (A2/B1)"
561,W-Fragen,fill_in_blank,"___ hast du das Fahrrad repariert?",Wie,Was,Wann,"Asking 'how'"
562,Sentences,build_sentence,"er|hat|sich|erkundigt|nach dem Weg",Er hat sich nach dem Weg erkundigt.,,,
563,Pronouns,multiple_choice,"Die Verantwortung liegt bei ___.",uns,wir,unser,"bei + Dativ"
564,Verbs,fill_in_blank,"Ich ___ die Tür ab.",schließe,schließt,schließen,"abschließen (to lock)"
565,Articles,multiple_choice,"Sie läuft über ___ Brücke.",die,der,den,"über + Akkusativ"
566,Haben/Sein,fill_in_blank,"Du ___ ein Vorbild.",bist,hast,sein,"sein (to be)"
567,Verbs,fill_in_blank,"Er ___ die Blumen.",pflanzt,pflanze,pflanzen,"pflanzen (to plant)"
568,Cases,multiple_choice,"Der Computer steht auf ___ Schreibtisch.",dem,den,der,"auf + Dativ (location)"
569,W-Fragen,fill_in_blank,"___ ist der Sinn des Lebens?",Was,Wer,Wie,"Asking a philosophical question"
570,Sentences,build_sentence,"ich|muss|anrufen|meinen Chef",Ich muss meinen Chef anrufen.,,,
571,Pronouns,multiple_choice,"Das ist zu schwer für ___.",mich,mir,ich,"für + Akkusativ"
572,Verbs,fill_in_blank,"Ihr ___ um den Preis.",handelt,handle,handeln,"handeln (to bargain)"
573,Articles,multiple_choice,"Wir fahren nach ___ Italien.",null,dem,das,"nach + country (no article)"
574,Haben/Sein,fill_in_blank,"Ich ___ Fernweh.",habe,bin,hast,"Fernweh haben (to have wanderlust)"
575,Verbs,fill_in_blank,"Du ___ dein Handy.",verlierst,verliere,verlieren,"verlieren (to lose)"
576,Cases,multiple_choice,"Sie schreibt an ___ Freundin.",ihre,ihrer,ihren,"an + Akkusativ"
577,W-Fragen,fill_in_blank,"___ Zug fährt nach Hamburg?",Welcher,Welchen,Welchem,"Asking 'which train'"
578,Sentences,build_sentence,"sie|hat|eingeladen|ihre Freunde",Sie hat ihre Freunde eingeladen.,,,
579,Pronouns,multiple_choice,"Ich bin enttäuscht von ___.",dir,dich,du,"enttäuscht sein von + Dativ"
580,Verbs,fill_in_blank,"Wir ___ das Problem.",diskutieren,diskutiert,diskutiere,"diskutieren (to discuss)"
581,Cases,multiple_choice,"Der Ball rollt unter ___ Bett.",das,dem,den,"unter + Akkusativ (motion)"
582,Haben/Sein,fill_in_blank,"Ihr ___ auf dem richtigen Weg.",seid,habt,sind,"sein (to be)"
583,Verbs,fill_in_blank,"Er ___ eine Lüge.",erzählt,erzähle,erzählen,"erzählen (to tell)"
584,Articles,multiple_choice,"Das ist die Hauptstadt von ___ Deutschland.",null,dem,das,"country name (no article)"
585,W-Fragen,fill_in_blank,"___ denkst du?",Was,Wie,Wer,"Asking 'what are you thinking'"
586,Sentences,build_sentence,"es|hat|aufgehört|zu regnen",Es hat aufgehört zu regnen.,,,
587,Pronouns,multiple_choice,"Ich warte auf ___.",euch,ihr,euer,"warten auf + Akkusativ"
588,Modal Verbs,fill_in_blank,"Ich ___ das nicht glauben.",kann,muss,darf,"können (can)"
589,Cases,multiple_choice,"Die Lampe hängt über ___ Tisch.",dem,den,der,"über + Dativ (location)"
590,Haben/Sein,fill_in_blank,"Du ___ eine starke Persönlichkeit.",hast,bist,haben,"haben (to have)"
591,Verbs,fill_in_blank,"Ich ___ dir die Richtung.",zeige,zeigst,zeigt,"zeigen (to show)"
592,Articles,multiple_choice,"Er ist Mitglied in ___ Verein.",einem,einen,ein,"in + Dativ"
593,W-Fragen,fill_in_blank,"___ hast du das erfahren?",Woher,Wovon,Von wem,"Asking 'from whom'"
594,Sentences,build_sentence,"sie|will|verbessern|ihr Deutsch",Sie will ihr Deutsch verbessern.,,,
595,Pronouns,multiple_choice,"Die Entscheidung liegt bei ___.",dir,dich,du,"bei + Dativ"
596,Verbs,fill_in_blank,"Ihr ___ die Geschenke aus.",packt,packe,packen,"auspacken (to unpack/unwrap - separable)"
597,Cases,multiple_choice,"Ich bin für ___ Vorschlag.",den,dem,der,"für + Akkusativ"
598,Haben/Sein,fill_in_blank,"Wir ___ es geschafft!",haben,sind,seid,"es geschafft haben (to have managed it)"
599,Verbs,fill_in_blank,"Du ___ die Frage.",beantwortest,beantworte,beantworten,"beantworten (to answer)"
600,Articles,multiple_choice,"Sie arbeitet in ___ Büro.",einem,einen,ein,"in + Dativ"
601,Verbs,fill_in_blank,"Ich ___ eine Reservierung.",mache,machst,macht,"machen (to make)"
602,Cases,multiple_choice,"Er ist der Bruder ___ Freundin.",meiner,meine,meinem,"Genitiv (A2/B1)"
603,W-Fragen,fill_in_blank,"___ geht es dir heute?",Wie,Was,Wer,"Asking 'how are you' (informal)"
604,Sentences,build_sentence,"er|hat|sich|gewaschen|die Hände",Er hat sich die Hände gewaschen.,,,
605,Pronouns,multiple_choice,"Ich helfe ___ gern.",dir,dich,du,"helfen + Dativ"
606,Verbs,multiple_choice,"Wir ___ das Spiel.",verlieren,verliert,verliere,"verlieren (to lose)"
607,Articles,fill_in_blank,"Das ist ___ schöner Tag.",ein,einen,eine,"der Tag (Nominative)"
608,Haben/Sein,fill_in_blank,"Ihr ___ im Irrtum.",seid,habt,sind,"im Irrtum sein (to be mistaken)"
609,Verbs,fill_in_blank,"Du ___ die Suppe.",rührst,rühre,rühren,"rühren (to stir)"
610,Cases,multiple_choice,"Der Schlüssel passt zu ___ Tür.",dieser,diese,dieses,"zu + Dativ"
611,W-Fragen,fill_in_blank,"___ hast du das Buch hingelegt?",Wohin,Wo,Was,"Asking for destination (wohin)"
612,Sentences,build_sentence,"ich|habe|vergessen|dich anzurufen",Ich habe vergessen, dich anzurufen.,,,
613,Pronouns,multiple_choice,"Sie ist böse auf ___.",ihn,er,ihm,"böse sein auf + Akkusativ"
614,Verbs,fill_in_blank,"Er ___ sein Zimmer auf.",räumt,räume,räumen,"aufräumen (to tidy up - separable)"
615,Articles,multiple_choice,"Wir gehen durch ___ Wald.",den,dem,der,"durch + Akkusativ"
616,Haben/Sein,fill_in_blank,"Ich ___ Kopfschmerzen.",habe,bin,hast,"Kopfschmerzen haben (to have a headache)"
617,Verbs,fill_in_blank,"Ihr ___ die Wäsche.",wascht,wasche,waschen,"waschen (to wash)"
618,Cases,multiple_choice,"Sie wartet an ___ Haltestelle.",der,die,den,"an + Dativ (location)"
619,W-Fragen,fill_in_blank,"___ ist dein Lieblingsfilm?",Was,Wer,Welcher,"Asking 'what'"
620,Sentences,build_sentence,"er|muss|lernen|für die Prüfung",Er muss für die Prüfung lernen.,,,
621,Pronouns,multiple_choice,"Ich bin froh über ___.",euch,ihr,euer,"froh sein über + Akkusativ"
622,Verbs,fill_in_blank,"Ich ___ das nicht.",erlaube,erlaubst,erlaubt,"erlauben (to allow)"
623,Articles,multiple_choice,"Das Foto hängt an ___ Wand.",der,die,den,"an + Dativ (location)"
624,Haben/Sein,fill_in_blank,"Du ___ eine gute Figur.",hast,bist,haben,"eine gute Figur haben (to have a good figure)"
625,Verbs,fill_in_blank,"Sie (she) ___ die Zeitung.",liest,lese,lesen,"lesen (to read - irregular)"
626,Cases,multiple_choice,"Er ist verliebt in ___ Kollegin.",seine,seiner,seinen,"in + Akkusativ"
627,W-Fragen,fill_in_blank,"___ Straße müssen wir nehmen?",Welche,Welchen,Welchem,"Asking 'which street'"
628,Sentences,build_sentence,"wir|haben|gemacht|einen Ausflug",Wir haben einen Ausflug gemacht.,,,
629,Pronouns,multiple_choice,"Er ist abhängig von ___.",ihr,sie,sich,"abhängig sein von + Dativ"
630,Verbs,fill_in_blank,"Ihr ___ die Information.",erhaltet,erhalte,erhalten,"erhalten (to receive)"
631,Articles,multiple_choice,"Ich habe ___ Geschenk für dich.",ein,einen,eine,"das Geschenk (Akkusativ)"
632,Haben/Sein,fill_in_blank,"Wir ___ im Finale.",sind,haben,seid,"sein (to be)"
633,Verbs,fill_in_blank,"Du ___ die Bedeutung.",kennst,kenne,kennen,"kennen (to know)"
634,Cases,multiple_choice,"Er läuft um ___ Haus herum.",das,dem,den,"um + Akkusativ"
635,W-Fragen,fill_in_blank,"___ denkst du an?",Woran,An was,An wen,"Asking 'what are you thinking of'"
636,Sentences,build_sentence,"sie|hat|versucht|zu schlafen",Sie hat versucht zu schlafen.,,,
637,Pronouns,multiple_choice,"Ich verabschiede mich von ___.",dir,dich,du,"sich verabschieden von + Dativ"
638,Verbs,fill_in_blank,"Wir ___ einen Kompromiss.",schließen,schließt,schließe,"schließen (to make a compromise)"
639,Cases,multiple_choice,"Das Hotel liegt am ___ Meer.",null,dem,den,"am (an + dem) + Dativ"
640,Haben/Sein,fill_in_blank,"Ihr ___ viel Geduld.",habt,seid,sind,"haben (to have)"
641,Verbs,fill_in_blank,"Er ___ die Aufgabe.",übernimmt,übernehme,übernehmen,"übernehmen (to take over)"
642,Articles,multiple_choice,"Sie hat Interesse an ___ Kurs.",dem,den,der,"an + Dativ"
643,W-Fragen,fill_in_blank,"___ hat dir das erzählt?",Wer,Was,Wem,"Asking 'who'"
644,Sentences,build_sentence,"ich|kann|nicht|entscheiden|mich",Ich kann mich nicht entscheiden.,,,
645,Pronouns,multiple_choice,"Wir sind neugierig auf ___.",euch,ihr,euer,"neugierig sein auf + Akkusativ"
646,Modal Verbs,fill_in_blank,"Wir ___ das Auto waschen.",sollen,sollt,soll,"sollen (should)"
647,Cases,multiple_choice,"Die Tasse steht auf ___ Untertasse.",der,die,den,"auf + Dativ (location)"
648,Haben/Sein,fill_in_blank,"Du ___ es gut.",hast,bist,haben,"es gut haben (to have it good)"
649,Verbs,fill_in_blank,"Ich ___ dir die Neuigkeiten.",mitteile,mitteilst,mitteilt,"mitteilen (to inform - separable)"
650,Articles,multiple_choice,"Er hat ___ wichtigen Anruf.",einen,ein,eine,"der Anruf (Akkusativ)"
651,Verbs,fill_in_blank,"Sie (she) ___ eine Geschichte.",schreibt,schreibe,schreiben,"schreiben (to write)"
652,Cases,multiple_choice,"Ich gebe ___ Mann das Geld.",dem,den,der,"der Mann (Dativ)"
653,W-Fragen,fill_in_blank,"___ schmeckt das Essen?",Wie,Was,Wer,"Asking for opinion on taste"
654,Sentences,build_sentence,"er|hat|sich|bedankt|für die Hilfe",Er hat sich für die Hilfe bedankt.,,,
655,Pronouns,multiple_choice,"Die Blumen sind für ___.",Sie,Ihnen,Ihr,"für + Akkusativ (formal)"
656,Verbs,multiple_choice,"Ihr ___ zu viel Geld aus.",gebt,gebe,geben,"ausgeben (to spend - separable)"
657,Articles,fill_in_blank,"Das Kind spielt im ___ Sand.",null,dem,den,"im (in + dem) + Dativ"
658,Haben/Sein,fill_in_blank,"Wir ___ im selben Alter.",sind,haben,seid,"sein (to be)"
659,Verbs,fill_in_blank,"Du ___ die Tür zu.",schlägst,schlage,schlagen,"zuschlagen (to slam - separable)"
660,Cases,multiple_choice,"Sie denkt über ___ Angebot nach.",das,dem,den,"nachdenken über + Akkusativ"
661,W-Fragen,fill_in_blank,"___ steht da geschrieben?",Was,Wer,Wie,"Asking 'what is written there'"
662,Sentences,build_sentence,"ich|muss|einkaufen|für das Wochenende",Ich muss für das Wochenende einkaufen.,,,
663,Pronouns,multiple_choice,"Er ist eifersüchtig auf ___.",mich,mir,ich,"eifersüchtig sein auf + Akkusativ"
664,Verbs,fill_in_blank,"Wir ___ den Vertrag.",unterschreiben,unterschreibt,unterschreibe,"unterschreiben (to sign)"
665,Articles,multiple_choice,"Der Apfel fällt nicht weit von ___ Stamm.",dem,den,der,"von + Dativ"
666,Haben/Sein,fill_in_blank,"Du ___ einen guten Geschmack.",hast,bist,haben,"haben (to have)"
667,Verbs,fill_in_blank,"Er ___ seinen Fehler zu.",gibt,gebe,geben,"zugeben (to admit - separable)"
668,Cases,multiple_choice,"Ich lege den Brief auf ___ Stapel.",den,dem,der,"auf + Akkusativ (destination)"
669,W-Fragen,fill_in_blank,"___ hast du das gelernt?",Von wem,Wer,Wem,"Asking 'from whom'"
670,Sentences,build_sentence,"sie|hat|gewartet|lange|auf dich",Sie hat lange auf dich gewartet.,,,
671,Pronouns,multiple_choice,"Ich bin überzeugt von ___.",dir,dich,du,"überzeugt sein von + Dativ"
672,Verbs,fill_in_blank,"Ihr ___ euch gut.",versteht,verstehe,verstehen,"sich verstehen (to get along)"
673,Articles,multiple_choice,"Wir sitzen um ___ Tisch herum.",den,dem,der,"um + Akkusativ"
674,Haben/Sein,fill_in_blank,"Ich ___ auf Wolke sieben.",schwebe,bin,habe,"auf Wolke sieben schweben (to be on cloud nine)"
675,Verbs,fill_in_blank,"Du ___ deine Meinung.",vertrittst,vertrete,vertreten,"vertreten (to represent)"
676,Cases,multiple_choice,"Sie hat einen Termin bei ___ Ärztin.",der,die,den,"bei + Dativ"
677,W-Fragen,fill_in_blank,"___ Uhr treffen wir uns?",Um wie viel,Wann,Wie,"Asking for a specific time"
678,Sentences,build_sentence,"ich|kann|mich|nicht|erinnern|daran",Ich kann mich nicht daran erinnern.,,,
679,Pronouns,multiple_choice,"Das ist eine Frage an ___.",dich,dir,du,"eine Frage an + Akkusativ"
680,Verbs,fill_in_blank,"Wir ___ die Natur.",beobachten,beobachtet,beobachte,"beobachten (to observe)"
681,Cases,multiple_choice,"Der Weg führt durch ___ Wald.",den,dem,der,"durch + Akkusativ"
682,Haben/Sein,fill_in_blank,"Ihr ___ am Zug.",seid,habt,sind,"am Zug sein (to be one's turn)"
683,Verbs,fill_in_blank,"Er ___ die Einladung weiter.",leitet,leite,leiten,"weiterleiten (to forward - separable)"
684,Articles,multiple_choice,"Das Restaurant liegt gegenüber ___ Park.",dem,den,der,"gegenüber + Dativ"
685,W-Fragen,fill_in_blank,"Wofür ___ du dich?",entscheidest,entscheide,entscheiden,"sich entscheiden für"
686,Sentences,build_sentence,"er|hat|sich|beworben|um die Stelle",Er hat sich um die Stelle beworben.,,,
687,Pronouns,multiple_choice,"Das ist typisch für ___.",ihn,er,ihm,"für + Akkusativ"
688,Modal Verbs,fill_in_blank,"Ihr ___ die Regeln befolgen.",müsst,müssen,muss,"müssen (must)"
689,Cases,multiple_choice,"Ich bin gegen ___ Vorschlag.",diesen,diesem,dieser,"gegen + Akkusativ"
690,Haben/Sein,fill_in_blank,"Du ___ den Bogen raus.",hast,bist,haben,"den Bogen raus haben (to have the hang of it)"
691,Verbs,fill_in_blank,"Ich ___ dir mein Wort.",gebe,gibst,gibt,"geben (to give)"
692,Articles,multiple_choice,"Sie wohnt in ___ dritten Etage.",der,die,den,"in + Dativ"
693,W-Fragen,fill_in_blank,"___ steht hinter der Tür?",Wer,Was,Wo,"Asking 'who'"
694,Sentences,build_sentence,"wir|haben|diskutiert|lange|darüber",Wir haben lange darüber diskutiert.,,,
695,Pronouns,multiple_choice,"Ich bin dankbar für ___.",euch,ihr,euer,"für + Akkusativ"
696,Verbs,fill_in_blank,"Ihr ___ das Geheimnis.",verratet,verrate,verraten,"verraten (to reveal)"
697,Cases,multiple_choice,"Er arbeitet als ___ Lehrer.",null,ein,einen,"als + Nominative (profession)"
698,Haben/Sein,fill_in_blank,"Wir ___ den Salat.",haben,sind,seid,"den Salat haben (to be in a mess)"
699,Verbs,fill_in_blank,"Du ___ die Blumen.",pflückst,pflücke,pflücken,"pflücken (to pick)"
700,Articles,multiple_choice,"Das ist das Haus ___ Onkels.",meines,meinen,meinem,"Genitiv (A2/B1)"
701,W-Fragen,fill_in_blank,"___ hast du das Messer hingelegt?",Wohin,Wo,Was,"Asking for destination (wohin)"
702,Sentences,build_sentence,"ich|habe|versprochen|pünktlich zu sein",Ich habe versprochen, pünktlich zu sein.,,,
703,Pronouns,multiple_choice,"Er ist wütend auf ___.",sie,ihr,sich,"wütend sein auf + Akkusativ"
704,Verbs,fill_in_blank,"Wir ___ den Tisch.",decken,deckt,decke,"decken (to set the table)"
705,Cases,multiple_choice,"Ich fahre mit ___ U-Bahn.",der,die,den,"mit + Dativ"
706,Haben/Sein,fill_in_blank,"Du ___ die Wahl.",hast,bist,haben,"die Wahl haben (to have the choice)"
707,Verbs,fill_in_blank,"Er ___ die Chance.",ergreift,ergreife,ergreifen,"ergreifen (to seize)"
708,Articles,multiple_choice,"Sie geht zu ___ besten Freundin.",ihrer,ihre,ihren,"zu + Dativ"
709,W-Fragen,fill_in_blank,"Wozu ___ du das?",brauchst,brauche,brauchen,"Asking 'what for'"
710,Sentences,build_sentence,"er|hat|aufgepasst|nicht|im Unterricht",Er hat im Unterricht nicht aufgepasst.,,,
711,Pronouns,multiple_choice,"Ich bin zufrieden mit ___.",dir,dich,du,"zufrieden sein mit + Dativ"
712,Verbs,fill_in_blank,"Ihr ___ das Formular aus.",füllt,fülle,füllen,"ausfüllen (to fill out - separable)"
713,Cases,multiple_choice,"Er hat einen Ring aus ___ Gold.",null,dem,den,"aus + material (no article)"
714,Haben/Sein,fill_in_blank,"Ich ___ eine Ahnung.",habe,bin,hast,"eine Ahnung haben (to have an idea)"
715,Verbs,fill_in_blank,"Du ___ dein Ziel.",erreichst,erreiche,erreichen,"erreichen (to reach)"
716,Articles,multiple_choice,"Wir sprechen von ___ neuen Projekt.",dem,den,das,"von + Dativ"
717,W-Fragen,fill_in_blank,"___ ist dein Geburtsdatum?",Was,Wie,Wann,"Asking for date of birth"
718,Sentences,build_sentence,"sie|hat|sich|entschieden|für das rote Kleid",Sie hat sich für das rote Kleid entschieden.,,,
719,Pronouns,multiple_choice,"Er hat sich in ___ verliebt.",mich,mir,ich,"sich verlieben in + Akkusativ"
720,Verbs,fill_in_blank,"Wir ___ die Regeln.",befolgen,befolgt,befolge,"befolgen (to follow rules)"
721,Cases,multiple_choice,"Das liegt an ___ schlechten Wetter.",dem,den,das,"an + Dativ"
722,Haben/Sein,fill_in_blank,"Ihr ___ auf dem Holzweg.",seid,habt,sind,"auf dem Holzweg sein (to be on the wrong track)"
723,Verbs,fill_in_blank,"Er ___ seine Schlüssel.",vergisst,vergesse,vergessen,"vergessen (to forget - irregular)"
724,Articles,multiple_choice,"Sie hat einen Hut auf ___ Kopf.",dem,den,der,"auf + Dativ (location)"
725,W-Fragen,fill_in_blank,"___ hast du das erfahren?",Wodurch,Wovon,Wie,"Asking 'through what means'"
726,Sentences,build_sentence,"ich|kann|dir|helfen|nicht|leider",Ich kann dir leider nicht helfen.,,,
727,Pronouns,multiple_choice,"Ich warte schon lange auf ___.",dich,dir,du,"warten auf + Akkusativ"
728,Modal Verbs,fill_in_blank,"Du ___ das nicht anfassen.",darfst,kannst,musst,"dürfen (may, allowed to)"
729,Cases,multiple_choice,"Der Stuhl steht zwischen ___ Fenstern.",den,die,der,"zwischen + Dativ (Plural)"
730,Haben/Sein,fill_in_blank,"Du ___ ein reines Gewissen.",hast,bist,haben,"ein reines Gewissen haben (to have a clear conscience)"
731,Verbs,fill_in_blank,"Ich ___ die Aufgabe.",übernehme,übernimmst,übernimmt,"übernehmen (to take on)"
732,Articles,multiple_choice,"Er ist gegen ___ Plan.",diesen,diesem,dieser,"gegen + Akkusativ"
733,W-Fragen,fill_in_blank,"Womit kann ich ___ dienen?",Ihnen,Sie,Ihr,"Asking 'how can I help you' (formal)"
734,Sentences,build_sentence,"sie|hat|abgesagt|den Termin",Sie hat den Termin abgesagt.,,,
735,Pronouns,multiple_choice,"Ich bin einverstanden mit ___.",euch,ihr,euer,"mit + Dativ"
736,Verbs,fill_in_blank,"Ihr ___ die Kerzen an.",zündet,zünde,zünden,"anzünden (to light - separable)"
737,Cases,multiple_choice,"Das Bild stammt aus ___ 18. Jahrhundert.",dem,den,das,"aus + Dativ"
738,Haben/Sein,fill_in_blank,"Wir ___ die Absicht.",haben,sind,seid,"die Absicht haben (to have the intention)"
739,Verbs,fill_in_blank,"Du ___ das Fenster.",öffnest,öffne,öffnen,"öffnen (to open)"
7p;40,Articles,multiple_choice,"Ich bin ___ Meinung, dass...",der,die,den,"der Meinung sein"
741,W-Fragen,fill_in_blank,"___ gehört das Auto?",Wem,Wen,Wer,"Asking for ownership (dative)"
742,Sentences,build_sentence,"er|hat|gelogen|mich|angelogen",Er hat mich angelogen.,,,
743,Pronouns,multiple_choice,"Er hat sich bei ___ entschuldigt.",mir,mich,ich,"sich entschuldigen bei + Dativ"
744,Verbs,fill_in_blank,"Wir ___ die Stadt.",verlassen,verlasst,verlasse,"verlassen (to leave)"
745,Cases,multiple_choice,"Sie arbeitet trotz ___ Krankheit.",der,die,den,"trotz + Genitiv (A2/B1)"
746,Haben/Sein,fill_in_blank,"Du ___ die Oberhand.",hast,bist,haben,"die Oberhand haben (to have the upper hand)"
747,Verbs,fill_in_blank,"Er ___ die Aufgabe ab.",gibt,gebe,geben,"abgeben (to hand in - separable)"
748,Articles,multiple_choice,"Das ist die Schuld ___ Fahrers.",des,den,dem,"Genitiv (A2/B1)"
749,W-Fragen,fill_in_blank,"Worauf ___ du dich?",beziehst,beziehe,beziehen,"sich beziehen auf + Akkusativ"
750,Sentences,build_sentence,"ich|habe|mich|gefreut|sehr",Ich habe mich sehr gefreut.,,,
751,Pronouns,multiple_choice,"Das hängt von ___ ab.",ihm,ihn,er,"abhängen von + Dativ"
752,Verbs,fill_in_blank,"Ihr ___ die Einladung an.",nehmt,nehme,nehmen,"annehmen (to accept - separable)"
753,Cases,multiple_choice,"Das Schiff fährt durch ___ Kanal.",den,dem,der,"durch + Akkusativ"
754,Haben/Sein,fill_in_blank,"Wir ___ in guter Gesellschaft.",sind,haben,seid,"sein (to be)"
755,Verbs,fill_in_blank,"Du ___ einen guten Eindruck.",machst,mache,machen,"einen Eindruck machen (to make an impression)"
756,Articles,multiple_choice,"Er wohnt in ___ Nähe des Parks.",der,die,dem,"in + Dativ"
757,W-Fragen,fill_in_blank,"___ hast du das gesagt?",Zu wem,Wem,Wer,"Asking 'to whom'"
758,Sentences,build_sentence,"sie|hat|sich|verspätet|zur Arbeit",Sie hat sich zur Arbeit verspätet.,,,
759,Pronouns,multiple_choice,"Ich bin neugierig auf ___.",dich,dir,du,"neugierig sein auf + Akkusativ"
760,Verbs,fill_in_blank,"Wir ___ das Auto.",verkaufen,verkauft,verkaufe,"verkaufen (to sell)"
761,Cases,multiple_choice,"Er ist nach ___ Hause gegangen.",null,dem,das,"nach Hause gehen"
762,Haben/Sein,fill_in_blank,"Du ___ ein großes Herz.",hast,bist,haben,"haben (to have)"
763,Verbs,fill_in_blank,"Er ___ die Musik leiser.",stellt,stelle,stellen,"leiser stellen (to turn down)"
764,Articles,multiple_choice,"Das liegt außerhalb ___ Toleranz.",der,die,den,"außerhalb + Genitiv (A2/B1)"
765,W-Fragen,fill_in_blank,"___ handelt der Film?",Wovon,Worüber,Woran,"handeln von + Dativ"
766,Sentences,build_sentence,"ich|kann|garantieren|nichts",Ich kann nichts garantieren.,,,
767,Pronouns,multiple_choice,"Er hat sich auf ___ verlassen.",uns,wir,unser,"sich verlassen auf + Akkusativ"
768,Modal Verbs,fill_in_blank,"Ich ___ dieses Buch empfehlen.",möchte,will,kann,"möchten (would like to)"
769,Cases,multiple_choice,"Sie arbeitet bei ___ Bank.",einer,eine,einen,"bei + Dativ"
770,Haben/Sein,fill_in_blank,"Ihr ___ auf dem Sprung.",seid,habt,sind,"auf dem Sprung sein (to be about to leave)"
771,Verbs,fill_in_blank,"Ich ___ dir eine Chance.",gebe,gibst,gibt,"geben (to give)"
772,Articles,multiple_choice,"Wir sind für ___ Frieden.",den,dem,der,"für + Akkusativ"
773,W-Fragen,fill_in_blank,"___ hast du dich entschieden?",Wofür,Wogegen,Woran,"sich entscheiden für"
774,Sentences,build_sentence,"er|hat|vergessen|seinen Termin",Er hat seinen Termin vergessen.,,,
775,Pronouns,multiple_choice,"Ich habe ___ etwas mitgebracht.",dir,dich,du,"mitbringen + Dativ"
776,Verbs,fill_in_blank,"Ihr ___ die Tür zu.",haltet,halte,halten,"zuhalten (to hold shut)"
777,Cases,multiple_choice,"Er läuft ___ die Straße.",über,auf,an,"über + Akkusativ"
